2025-04-01 09:57:14,293 - INFO - System Monitor: Starting system monitoring...
2025-04-01 09:57:14,296 - INFO - CPU: Usage: 0.0%
2025-04-01 09:57:14,296 - INFO - Memory: Usage: 44.4%
2025-04-01 09:57:14,366 - INFO - System Info: Hostname: 10PC324
2025-04-01 09:57:14,367 - INFO - System Info: Operating System: Windows 10
2025-04-01 09:57:14,367 - INFO - System info: Python Version: 3.12.8
2025-04-01 09:57:14,372 - INFO - Network: Bytes Sent: 282445604, Bytes Received: 1295882066
2025-04-01 09:57:14,373 - INFO - Software: Running Software:
2025-04-01 09:57:14,375 - INFO - Software: PID: 0, Name: System Idle Process, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,377 - INFO - Software: PID: 4, Name: System, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,377 - INFO - Software: PID: 108, Name: Registry, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,378 - INFO - Software: PID: 336, Name: TrustedInstaller.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,379 - INFO - Software: PID: 428, Name: smss.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,380 - INFO - Software: PID: 460, Name: WUDFHost.exe, Username; NT AUTHORITY\LOCAL SERVICE
2025-04-01 09:57:14,381 - INFO - Software: PID: 588, Name: csrss.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,381 - INFO - Software: PID: 676, Name: wininit.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,382 - INFO - Software: PID: 684, Name: csrss.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,383 - INFO - Software: PID: 692, Name: fdhost.exe, Username; NT SERVICE\MSSQLFDLauncher$SQLEXPRESS
2025-04-01 09:57:14,385 - INFO - Software: PID: 712, Name: TextInputHost.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,385 - INFO - Software: PID: 748, Name: services.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,386 - INFO - Software: PID: 756, Name: lsass.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,387 - INFO - Software: PID: 792, Name: explorer.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,387 - INFO - Software: PID: 824, Name: svchost.exe, Username; NT AUTHORITY\NETWORK SERVICE
2025-04-01 09:57:14,387 - INFO - Software: PID: 868, Name: winlogon.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,388 - INFO - Software: PID: 912, Name: svchost.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,388 - INFO - Software: PID: 952, Name: svchost.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,389 - INFO - Software: PID: 988, Name: fontdrvhost.exe, Username; Font Driver Host\UMFD-0
2025-04-01 09:57:14,391 - INFO - Software: PID: 996, Name: fontdrvhost.exe, Username; Font Driver Host\UMFD-1
2025-04-01 09:57:14,392 - INFO - Software: PID: 1036, Name: PresentationFontCache.exe, Username; NT AUTHORITY\LOCAL SERVICE
2025-04-01 09:57:14,393 - INFO - Software: PID: 1040, Name: svchost.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,393 - INFO - Software: PID: 1124, Name: svchost.exe, Username; NT AUTHORITY\LOCAL SERVICE
2025-04-01 09:57:14,393 - INFO - Software: PID: 1128, Name: dllhost.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,394 - INFO - Software: PID: 1152, Name: dwm.exe, Username; Window Manager\DWM-1
2025-04-01 09:57:14,395 - INFO - Software: PID: 1224, Name: svchost.exe, Username; NT AUTHORITY\NETWORK SERVICE
2025-04-01 09:57:14,395 - INFO - Software: PID: 1260, Name: svchost.exe, Username; NT AUTHORITY\LOCAL SERVICE
2025-04-01 09:57:14,396 - INFO - Software: PID: 1316, Name: conhost.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,397 - INFO - Software: PID: 1396, Name: svchost.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,397 - INFO - Software: PID: 1404, Name: svchost.exe, Username; NT AUTHORITY\LOCAL SERVICE
2025-04-01 09:57:14,398 - INFO - Software: PID: 1416, Name: svchost.exe, Username; NT AUTHORITY\LOCAL SERVICE
2025-04-01 09:57:14,398 - INFO - Software: PID: 1468, Name: svchost.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,399 - INFO - Software: PID: 1520, Name: svchost.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,399 - INFO - Software: PID: 1544, Name: svchost.exe, Username; NT AUTHORITY\LOCAL SERVICE
2025-04-01 09:57:14,400 - INFO - Software: PID: 1568, Name: svchost.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,401 - INFO - Software: PID: 1616, Name: chrome.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,401 - INFO - Software: PID: 1652, Name: svchost.exe, Username; NT AUTHORITY\LOCAL SERVICE
2025-04-01 09:57:14,402 - INFO - Software: PID: 1736, Name: svchost.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,404 - INFO - Software: PID: 1748, Name: svchost.exe, Username; NT AUTHORITY\LOCAL SERVICE
2025-04-01 09:57:14,404 - INFO - Software: PID: 1780, Name: vrol.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,405 - INFO - Software: PID: 1800, Name: svchost.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,406 - INFO - Software: PID: 1960, Name: conhost.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,408 - INFO - Software: PID: 2016, Name: svchost.exe, Username; NT AUTHORITY\NETWORK SERVICE
2025-04-01 09:57:14,408 - INFO - Software: PID: 2096, Name: svchost.exe, Username; NT AUTHORITY\LOCAL SERVICE
2025-04-01 09:57:14,409 - INFO - Software: PID: 2148, Name: MpCopyAccelerator.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,410 - INFO - Software: PID: 2160, Name: NVDisplay.Container.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,410 - INFO - Software: PID: 2236, Name: svchost.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,411 - INFO - Software: PID: 2312, Name: svchost.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,411 - INFO - Software: PID: 2320, Name: svchost.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,412 - INFO - Software: PID: 2380, Name: svchost.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,412 - INFO - Software: PID: 2388, Name: svchost.exe, Username; NT AUTHORITY\LOCAL SERVICE
2025-04-01 09:57:14,413 - INFO - Software: PID: 2404, Name: svchost.exe, Username; NT AUTHORITY\LOCAL SERVICE
2025-04-01 09:57:14,413 - INFO - Software: PID: 2480, Name: python.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,414 - INFO - Software: PID: 2488, Name: svchost.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,414 - INFO - Software: PID: 2548, Name: svchost.exe, Username; NT AUTHORITY\LOCAL SERVICE
2025-04-01 09:57:14,415 - INFO - Software: PID: 2556, Name: svchost.exe, Username; NT AUTHORITY\LOCAL SERVICE
2025-04-01 09:57:14,416 - INFO - Software: PID: 2568, Name: WINWORD.EXE, Username; 10PC324\Administrator
2025-04-01 09:57:14,417 - INFO - Software: PID: 2620, Name: MemCompression, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,417 - INFO - Software: PID: 2640, Name: svchost.exe, Username; NT AUTHORITY\NETWORK SERVICE
2025-04-01 09:57:14,418 - INFO - Software: PID: 2652, Name: svchost.exe, Username; NT AUTHORITY\LOCAL SERVICE
2025-04-01 09:57:14,418 - INFO - Software: PID: 2676, Name: Code.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,419 - INFO - Software: PID: 2712, Name: PciHooksApp64.exe, Username; NT AUTHORITY\SYSTEM
